EnhedId,RåResultat,Enhedsnavn,Stofnavn,Datomærke,Målestedsnavn,ProduktId
20,402.00,µg/m3,PM10,2018-12-31 23:00:00.000,H.C. Andersen Boulevard - Skur,32424562
20,234.10,µg/m3,PM10,2018-12-31 23:30:00.000,H.C. Andersen Boulevard - Skur,32424563
20,79.80,µg/m3,PM10,2019-01-01 00:00:00.000,H.C. Andersen Boulevard - Skur,32424564
20,34.50,µg/m3,PM10,2019-01-01 00:30:00.000,H.C. Andersen Boulevard - Skur,32424565
20,11.50,µg/m3,PM10,2018-12-31 23:00:00.000,Risø,32424566
20,23.60,µg/m3,PM10,2018-12-31 23:30:00.000,Risø,32424567
20,26.20,µg/m3,PM10,2019-01-01 00:00:00.000,Risø,32424568
20,22.60,µg/m3,PM10,2019-01-01 00:30:00.000,Risø,32424569
20,228.60,µg/m3,PM25,2018-12-31 23:00:00.000,H.C. Andersen Boulevard - Skur,32424570
20,121.00,µg/m3,PM25,2018-12-31 23:30:00.000,H.C. Andersen Boulevard - Skur,32424571
20,28.60,µg/m3,PM25,2019-01-01 00:00:00.000,H.C. Andersen Boulevard - Skur,32424572
20,18.00,µg/m3,PM25,2019-01-01 00:30:00.000,H.C. Andersen Boulevard - Skur,32424573
2,3.03,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,H.C.Ørsted Inst.,32424574
2,9.98,ppb,NOx'er,2018-12-31 23:00:00.000,H.C.Ørsted Inst.,32424575
5,0.09,ppm,Carbonmonooxid,2018-12-31 23:00:00.000,H.C.Ørsted Inst.,32424576
2,28.66,ppb,Ozon,2018-12-31 23:00:00.000,H.C.Ørsted Inst.,32424577
2,3.24,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,H.C.Ørsted Inst.,32424578
2,13.61,ppb,NOx'er,2018-12-31 23:30:00.000,H.C.Ørsted Inst.,32424579
5,0.12,ppm,Carbonmonooxid,2018-12-31 23:30:00.000,H.C.Ørsted Inst.,32424580
2,25.65,ppb,Ozon,2018-12-31 23:30:00.000,H.C.Ørsted Inst.,32424581
2,2.27,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,H.C.Ørsted Inst.,32424582
2,6.92,ppb,NOx'er,2019-01-01 00:00:00.000,H.C.Ørsted Inst.,32424583
5,0.09,ppm,Carbonmonooxid,2019-01-01 00:00:00.000,H.C.Ørsted Inst.,32424584
2,2.46,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,H.C.Ørsted Inst.,32424586
2,5.68,ppb,NOx'er,2019-01-01 00:30:00.000,H.C.Ørsted Inst.,32424587
5,0.10,ppm,Carbonmonooxid,2019-01-01 00:30:00.000,H.C.Ørsted Inst.,32424588
2,32.76,ppb,Ozon,2019-01-01 00:30:00.000,H.C.Ørsted Inst.,32424589
2,2.54,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Aarhus Botanisk,32424590
2,6.97,ppb,NOx'er,2018-12-31 23:00:00.000,Aarhus Botanisk,32424591
2,30.85,ppb,Ozon,2018-12-31 23:00:00.000,Aarhus Botanisk,32424592
2,4.10,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Aarhus Botanisk,32424593
2,7.44,ppb,NOx'er,2018-12-31 23:30:00.000,Aarhus Botanisk,32424594
2,32.61,ppb,Ozon,2018-12-31 23:30:00.000,Aarhus Botanisk,32424595
2,1.73,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Aarhus Botanisk,32424596
2,3.30,ppb,NOx'er,2019-01-01 00:00:00.000,Aarhus Botanisk,32424597
2,34.42,ppb,Ozon,2019-01-01 00:00:00.000,Aarhus Botanisk,32424598
2,1.78,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Aarhus Botanisk,32424599
2,3.33,ppb,NOx'er,2019-01-01 00:30:00.000,Aarhus Botanisk,32424600
2,34.36,ppb,Ozon,2019-01-01 00:30:00.000,Aarhus Botanisk,32424601
2,3.87,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Ulborg,32424602
2,5.49,ppb,NOx'er,2018-12-31 23:00:00.000,Ulborg,32424603
2,32.04,ppb,Ozon,2018-12-31 23:00:00.000,Ulborg,32424604
2,3.84,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Ulborg,32424605
2,5.93,ppb,NOx'er,2018-12-31 23:30:00.000,Ulborg,32424606
2,31.31,ppb,Ozon,2018-12-31 23:30:00.000,Ulborg,32424607
2,3.74,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Ulborg,32424608
2,4.82,ppb,NOx'er,2019-01-01 00:00:00.000,Ulborg,32424609
2,3.97,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Ulborg,32424611
2,5.19,ppb,NOx'er,2019-01-01 00:30:00.000,Ulborg,32424612
2,31.83,ppb,Ozon,2019-01-01 00:30:00.000,Ulborg,32424613
2,0.36,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Anholt - Radar stationen,32424614
2,1.18,ppb,NOx'er,2018-12-31 23:00:00.000,Anholt - Radar stationen,32424615
2,0.20,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Anholt - Radar stationen,32424616
2,1.04,ppb,NOx'er,2018-12-31 23:30:00.000,Anholt - Radar stationen,32424617
2,0.35,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Anholt - Radar stationen,32424618
2,1.14,ppb,NOx'er,2019-01-01 00:00:00.000,Anholt - Radar stationen,32424619
2,0.47,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Anholt - Radar stationen,32424620
2,1.40,ppb,NOx'er,2019-01-01 00:30:00.000,Anholt - Radar stationen,32424621
2,14.38,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Hvidovre Fjeldstedvej,32424622
2,22.08,ppb,NOx'er,2018-12-31 23:00:00.000,Hvidovre Fjeldstedvej,32424623
2,8.62,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Hvidovre Fjeldstedvej,32424624
2,15.53,ppb,NOx'er,2018-12-31 23:30:00.000,Hvidovre Fjeldstedvej,32424625
2,6.35,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Hvidovre Fjeldstedvej,32424626
2,9.28,ppb,NOx'er,2019-01-01 00:00:00.000,Hvidovre Fjeldstedvej,32424627
2,6.04,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Hvidovre Fjeldstedvej,32424628
2,8.03,ppb,NOx'er,2019-01-01 00:30:00.000,Hvidovre Fjeldstedvej,32424629
2,-0.25,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Risø,32424630
2,0.51,ppb,NOx'er,2018-12-31 23:00:00.000,Risø,32424631
5,-0.14,ppm,Carbonmonooxid,2018-12-31 23:00:00.000,Risø,32424632
2,34.60,ppb,Ozon,2018-12-31 23:00:00.000,Risø,32424633
2,-0.40,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Risø,32424634
2,0.78,ppb,NOx'er,2018-12-31 23:30:00.000,Risø,32424635
5,-0.14,ppm,Carbonmonooxid,2018-12-31 23:30:00.000,Risø,32424636
2,34.45,ppb,Ozon,2018-12-31 23:30:00.000,Risø,32424637
2,-0.24,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Risø,32424638
2,1.36,ppb,NOx'er,2019-01-01 00:00:00.000,Risø,32424639
5,-0.15,ppm,Carbonmonooxid,2019-01-01 00:00:00.000,Risø,32424640
2,33.21,ppb,Ozon,2019-01-01 00:00:00.000,Risø,32424641
2,-0.31,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Risø,32424642
2,0.92,ppb,NOx'er,2019-01-01 00:30:00.000,Risø,32424643
5,-0.13,ppm,Carbonmonooxid,2019-01-01 00:30:00.000,Risø,32424644
2,33.11,ppb,Ozon,2019-01-01 00:30:00.000,Risø,32424645
2,7.66,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Århus gade (3),32424648
2,11.17,ppb,NOx'er,2018-12-31 23:00:00.000,Århus gade (3),32424649
5,0.01,ppm,Carbonmonooxid,2018-12-31 23:00:00.000,Århus gade (3),32424650
2,3.50,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Århus gade (3),32424651
2,6.00,ppb,NOx'er,2018-12-31 23:30:00.000,Århus gade (3),32424652
5,-0.01,ppm,Carbonmonooxid,2018-12-31 23:30:00.000,Århus gade (3),32424653
2,4.05,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Århus gade (3),32424654
2,5.17,ppb,NOx'er,2019-01-01 00:00:00.000,Århus gade (3),32424655
5,0.00,ppm,Carbonmonooxid,2019-01-01 00:00:00.000,Århus gade (3),32424656
2,3.32,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Århus gade (3),32424657
2,5.18,ppb,NOx'er,2019-01-01 00:30:00.000,Århus gade (3),32424658
5,-0.01,ppm,Carbonmonooxid,2019-01-01 00:30:00.000,Århus gade (3),32424659
2,9.13,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Jagtvej - Skur,32424660
2,21.34,ppb,NOx'er,2018-12-31 23:00:00.000,Jagtvej - Skur,32424661
2,10.16,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Jagtvej - Skur,32424662
2,24.55,ppb,NOx'er,2018-12-31 23:30:00.000,Jagtvej - Skur,32424663
2,9.41,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Jagtvej - Skur,32424664
2,18.91,ppb,NOx'er,2019-01-01 00:00:00.000,Jagtvej - Skur,32424665
2,2.74,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Aalborg Tag ny,32424666
2,8.22,ppb,NOx'er,2018-12-31 23:00:00.000,Aalborg Tag ny,32424667
2,31.79,ppb,Ozon,2018-12-31 23:00:00.000,Aalborg Tag ny,32424668
2,-0.35,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Aalborg Tag ny,32424669
2,1.93,ppb,NOx'er,2018-12-31 23:30:00.000,Aalborg Tag ny,32424670
2,34.76,ppb,Ozon,2018-12-31 23:30:00.000,Aalborg Tag ny,32424671
2,35.27,ppb,Ozon,2019-01-01 00:00:00.000,Aalborg Tag ny,32424674
2,0.04,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Aalborg Tag ny,32424675
2,1.32,ppb,NOx'er,2019-01-01 00:30:00.000,Aalborg Tag ny,32424676
2,36.14,ppb,Ozon,2019-01-01 00:30:00.000,Aalborg Tag ny,32424677
2,-0.10,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Føllesbjerg,32424678
2,1.20,ppb,NOx'er,2018-12-31 23:00:00.000,Føllesbjerg,32424679
2,29.59,ppb,Ozon,2018-12-31 23:00:00.000,Føllesbjerg,32424680
2,-0.01,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Føllesbjerg,32424681
2,1.62,ppb,NOx'er,2018-12-31 23:30:00.000,Føllesbjerg,32424682
2,29.36,ppb,Ozon,2018-12-31 23:30:00.000,Føllesbjerg,32424683
2,0.11,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Føllesbjerg,32424684
2,2.02,ppb,NOx'er,2019-01-01 00:00:00.000,Føllesbjerg,32424685
2,0.04,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Føllesbjerg,32424687
2,2.26,ppb,NOx'er,2019-01-01 00:30:00.000,Føllesbjerg,32424688
2,29.22,ppb,Ozon,2019-01-01 00:30:00.000,Føllesbjerg,32424689
2,7.11,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,Odense Gade Grønløkkevej 20A,32424690
2,12.16,ppb,NOx'er,2018-12-31 23:00:00.000,Odense Gade Grønløkkevej 20A,32424691
5,0.11,ppm,Carbonmonooxid,2018-12-31 23:00:00.000,Odense Gade Grønløkkevej 20A,32424692
2,3.05,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,Odense Gade Grønløkkevej 20A,32424693
2,4.53,ppb,NOx'er,2018-12-31 23:30:00.000,Odense Gade Grønløkkevej 20A,32424694
5,0.05,ppm,Carbonmonooxid,2018-12-31 23:30:00.000,Odense Gade Grønløkkevej 20A,32424695
2,3.91,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,Odense Gade Grønløkkevej 20A,32424696
2,5.07,ppb,NOx'er,2019-01-01 00:00:00.000,Odense Gade Grønløkkevej 20A,32424697
5,0.00,ppm,Carbonmonooxid,2019-01-01 00:00:00.000,Odense Gade Grønløkkevej 20A,32424698
2,2.90,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Odense Gade Grønløkkevej 20A,32424699
2,4.43,ppb,NOx'er,2019-01-01 00:30:00.000,Odense Gade Grønløkkevej 20A,32424700
5,0.00,ppm,Carbonmonooxid,2019-01-01 00:30:00.000,Odense Gade Grønløkkevej 20A,32424701
2,9.52,ppb,Nitrogenmonooxid,2018-12-31 23:00:00.000,H.C. Andersen Boulevard - Skur,32424702
2,19.73,ppb,NOx'er,2018-12-31 23:00:00.000,H.C. Andersen Boulevard - Skur,32424703
5,0.26,ppm,Carbonmonooxid,2018-12-31 23:00:00.000,H.C. Andersen Boulevard - Skur,32424704
2,22.70,ppb,Ozon,2018-12-31 23:00:00.000,H.C. Andersen Boulevard - Skur,32424705
2,0.80,ppb,Svovldioxid,2018-12-31 23:00:00.000,H.C. Andersen Boulevard - Skur,32424706
2,3.96,ppb,Nitrogenmonooxid,2018-12-31 23:30:00.000,H.C. Andersen Boulevard - Skur,32424707
2,15.39,ppb,NOx'er,2018-12-31 23:30:00.000,H.C. Andersen Boulevard - Skur,32424708
5,0.20,ppm,Carbonmonooxid,2018-12-31 23:30:00.000,H.C. Andersen Boulevard - Skur,32424709
2,21.06,ppb,Ozon,2018-12-31 23:30:00.000,H.C. Andersen Boulevard - Skur,32424710
2,1.18,ppb,Svovldioxid,2018-12-31 23:30:00.000,H.C. Andersen Boulevard - Skur,32424711
2,2.39,ppb,Nitrogenmonooxid,2019-01-01 00:00:00.000,H.C. Andersen Boulevard - Skur,32424712
2,7.32,ppb,NOx'er,2019-01-01 00:00:00.000,H.C. Andersen Boulevard - Skur,32424713
5,0.19,ppm,Carbonmonooxid,2019-01-01 00:00:00.000,H.C. Andersen Boulevard - Skur,32424714
2,27.70,ppb,Ozon,2019-01-01 00:00:00.000,H.C. Andersen Boulevard - Skur,32424715
2,0.87,ppb,Svovldioxid,2019-01-01 00:00:00.000,H.C. Andersen Boulevard - Skur,32424716
2,2.03,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,H.C. Andersen Boulevard - Skur,32424717
2,6.52,ppb,NOx'er,2019-01-01 00:30:00.000,H.C. Andersen Boulevard - Skur,32424718
5,0.18,ppm,Carbonmonooxid,2019-01-01 00:30:00.000,H.C. Andersen Boulevard - Skur,32424719
2,28.13,ppb,Ozon,2019-01-01 00:30:00.000,H.C. Andersen Boulevard - Skur,32424720
2,0.32,ppb,Svovldioxid,2019-01-01 00:30:00.000,H.C. Andersen Boulevard - Skur,32424721
20,18.90,µg/m3,PM10,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424766
20,38.20,µg/m3,PM10,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424767
20,28.30,µg/m3,PM10,2019-01-01 01:00:00.000,Risø,32424768
20,29.60,µg/m3,PM10,2019-01-01 01:30:00.000,Risø,32424769
20,7.70,µg/m3,PM25,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424770
20,7.10,µg/m3,PM25,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424771
2,2.32,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,H.C.Ørsted Inst.,32424772
2,4.85,ppb,NOx'er,2019-01-01 01:00:00.000,H.C.Ørsted Inst.,32424773
5,0.10,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,H.C.Ørsted Inst.,32424774
2,32.87,ppb,Ozon,2019-01-01 01:00:00.000,H.C.Ørsted Inst.,32424775
2,2.04,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,H.C.Ørsted Inst.,32424776
2,4.54,ppb,NOx'er,2019-01-01 01:30:00.000,H.C.Ørsted Inst.,32424777
5,0.10,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,H.C.Ørsted Inst.,32424778
2,32.68,ppb,Ozon,2019-01-01 01:30:00.000,H.C.Ørsted Inst.,32424779
2,1.63,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Aarhus Botanisk,32424780
2,3.10,ppb,NOx'er,2019-01-01 01:00:00.000,Aarhus Botanisk,32424781
2,34.44,ppb,Ozon,2019-01-01 01:00:00.000,Aarhus Botanisk,32424782
2,1.64,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Aarhus Botanisk,32424783
2,3.10,ppb,NOx'er,2019-01-01 01:30:00.000,Aarhus Botanisk,32424784
2,34.24,ppb,Ozon,2019-01-01 01:30:00.000,Aarhus Botanisk,32424785
2,0.55,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Anholt - Radar stationen,32424786
2,1.59,ppb,NOx'er,2019-01-01 01:00:00.000,Anholt - Radar stationen,32424787
2,0.35,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Anholt - Radar stationen,32424788
2,1.51,ppb,NOx'er,2019-01-01 01:30:00.000,Anholt - Radar stationen,32424789
2,6.35,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Hvidovre Fjeldstedvej,32424790
2,8.00,ppb,NOx'er,2019-01-01 01:00:00.000,Hvidovre Fjeldstedvej,32424791
2,6.28,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Hvidovre Fjeldstedvej,32424792
2,7.88,ppb,NOx'er,2019-01-01 01:30:00.000,Hvidovre Fjeldstedvej,32424793
2,-0.17,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Risø,32424794
2,0.84,ppb,NOx'er,2019-01-01 01:00:00.000,Risø,32424795
5,-0.14,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,Risø,32424796
2,33.26,ppb,Ozon,2019-01-01 01:00:00.000,Risø,32424797
2,-0.23,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Risø,32424798
2,0.76,ppb,NOx'er,2019-01-01 01:30:00.000,Risø,32424799
5,-0.14,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,Risø,32424800
2,33.39,ppb,Ozon,2019-01-01 01:30:00.000,Risø,32424801
2,2.95,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Århus gade (3),32424802
2,5.61,ppb,NOx'er,2019-01-01 01:00:00.000,Århus gade (3),32424803
5,-0.01,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,Århus gade (3),32424804
2,3.13,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Århus gade (3),32424805
2,5.16,ppb,NOx'er,2019-01-01 01:30:00.000,Århus gade (3),32424806
5,0.00,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,Århus gade (3),32424807
2,6.22,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Jagtvej - Skur,32424808
2,11.10,ppb,NOx'er,2019-01-01 00:30:00.000,Jagtvej - Skur,32424809
2,6.92,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Jagtvej - Skur,32424810
2,12.55,ppb,NOx'er,2019-01-01 01:00:00.000,Jagtvej - Skur,32424811
2,-0.12,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Aalborg Tag ny,32424812
2,1.00,ppb,NOx'er,2019-01-01 01:00:00.000,Aalborg Tag ny,32424813
2,36.49,ppb,Ozon,2019-01-01 01:00:00.000,Aalborg Tag ny,32424814
2,-0.38,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Aalborg Tag ny,32424815
2,0.46,ppb,NOx'er,2019-01-01 01:30:00.000,Aalborg Tag ny,32424816
2,43.65,ppb,Ozon,2019-01-01 01:30:00.000,Aalborg Tag ny,32424817
2,-0.11,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Føllesbjerg,32424818
2,1.55,ppb,NOx'er,2019-01-01 01:00:00.000,Føllesbjerg,32424819
2,31.49,ppb,Ozon,2019-01-01 01:00:00.000,Føllesbjerg,32424820
2,0.05,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Føllesbjerg,32424821
2,1.26,ppb,NOx'er,2019-01-01 01:30:00.000,Føllesbjerg,32424822
2,32.53,ppb,Ozon,2019-01-01 01:30:00.000,Føllesbjerg,32424823
2,2.06,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Odense Gade Grønløkkevej 20A,32424824
2,3.14,ppb,NOx'er,2019-01-01 01:00:00.000,Odense Gade Grønløkkevej 20A,32424825
5,-0.02,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,Odense Gade Grønløkkevej 20A,32424826
2,2.95,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Odense Gade Grønløkkevej 20A,32424827
2,3.79,ppb,NOx'er,2019-01-01 01:30:00.000,Odense Gade Grønløkkevej 20A,32424828
5,-0.02,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,Odense Gade Grønløkkevej 20A,32424829
2,3.68,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424830
2,10.57,ppb,NOx'er,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424831
5,0.16,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424832
2,28.16,ppb,Ozon,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424833
2,0.17,ppb,Svovldioxid,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424834
2,3.13,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424835
2,7.49,ppb,NOx'er,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424836
5,0.17,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424837
2,28.58,ppb,Ozon,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424838
2,0.10,ppb,Svovldioxid,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424839
20,21.50,µg/m3,PM10,2019-01-01 02:00:00.000,H.C. Andersen Boulevard - Skur,32424840
20,18.70,µg/m3,PM10,2019-01-01 02:30:00.000,H.C. Andersen Boulevard - Skur,32424841
20,25.80,µg/m3,PM10,2019-01-01 02:00:00.000,Risø,32424842
20,16.20,µg/m3,PM10,2019-01-01 02:30:00.000,Risø,32424843
20,10.40,µg/m3,PM25,2019-01-01 02:00:00.000,H.C. Andersen Boulevard - Skur,32424844
20,5.50,µg/m3,PM25,2019-01-01 02:30:00.000,H.C. Andersen Boulevard - Skur,32424845
2,2.05,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424846
2,4.76,ppb,NOx'er,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424847
5,0.10,ppm,Carbonmonooxid,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424848
2,32.62,ppb,Ozon,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424849
2,1.97,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424850
2,4.32,ppb,NOx'er,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424851
5,0.09,ppm,Carbonmonooxid,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424852
2,32.77,ppb,Ozon,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424853
2,1.79,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Aarhus Botanisk,32424854
2,2.94,ppb,NOx'er,2019-01-01 02:00:00.000,Aarhus Botanisk,32424855
2,1.73,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,Aarhus Botanisk,32424857
2,2.73,ppb,NOx'er,2019-01-01 02:30:00.000,Aarhus Botanisk,32424858
2,34.31,ppb,Ozon,2019-01-01 02:30:00.000,Aarhus Botanisk,32424859
2,0.43,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Anholt - Radar stationen,32424860
2,1.13,ppb,NOx'er,2019-01-01 02:00:00.000,Anholt - Radar stationen,32424861
